stop_id,stop_name,fullName,stop_id,municipality,district_code,mainTrafficType,idosCategory,lat,lon,avgJtskX,avgJtskY,numStops
Adamov,Adamov,Adamov,Adamov,Adamov,KH,bus,301003,49.8581047,15.4081345,-675931.563,-1077494.13,1
Albertov,Albertov,Albertov,Albertov,Praha,AB,tram,301003,50.0679169,14.4207993,-743138.3,-1045162.44,3
Ametystová,Ametystová,Ametystová,Ametystová,Praha,AB,bus,301003,49.9882,14.3622169,-748508.3,-1053371.25,1
Amforová,Amforová,Amforová,Amforová,Praha,AB,bus,301003,50.04178,14.3272982,-750168.75,-1047125.06,2
Anděl,Anděl,Anděl,Anděl,Praha,AB,metroB,301003,50.07117,14.403471,-744317.8,-1044634.63,10
"Andělská Hora,dolní obec","Andělská Hora,dolní obec","Andělská Hora,dolní obec","Andělská Hora,dolní obec",Andělská Hora,KV,bus,301003,50.2080879,12.9550972,-844510.1,-1014439.13,2
"Andělská Hora,horní obec","Andělská Hora,horní obec","Andělská Hora,horní obec","Andělská Hora,horní obec",Andělská Hora,KV,bus,301003,50.2045441,12.9610386,-844152.563,-1014894.25,2
"Andělská Hora,chaty","Andělská Hora,chaty","Andělská Hora,chaty","Andělská Hora,chaty",Andělská Hora,KV,bus,301003,50.2070961,12.9446735,-845262.25,-1014432.13,2
"Andělská Hora,rozc.","Andělská Hora,rozc.","Andělská Hora,rozcestí","Andělská Hora,rozc.",Andělská Hora,KV,bus,301003,50.200367,12.9600859,-844292.1,-1015342.81,2
Antala Staška,Antala Staška,Antala Staška,Antala Staška,Praha,AB,bus,301003,50.0416069,14.4443626,-741865.2,-1048291.0,2
Apolinářská,Apolinářská,Apolinářská,Apolinářská,Praha,AB,bus,301003,50.07151,14.4267559,-742661.5,-1044824.56,2
Arbesovo náměstí,Arbesovo náměstí,Arbesovo náměstí,Arbesovo náměstí,Praha,AB,tram,301003,50.0762749,14.4048328,-744143.7,-1044085.5,4
Arena Libeň jih,Arena Libeň jih,Arena Libeň jih,Arena Libeň jih,Praha,AB,tram,301003,50.10289,14.4945927,-737378.0,-1042025.88,2
Argentinská,Argentinská,Argentinská,Argentinská,Praha,AB,bus,301003,50.1030464,14.4433975,-741004.1,-1041512.0,3
Archeologická,Archeologická,Archeologická,Archeologická,Praha,AB,bus,301003,50.044117,14.3378172,-749386.7,-1046971.06,2
Avia Letňany,Avia Letňany,Avia Letňany,Avia Letňany,Praha,AB,bus,301003,50.14173,14.5157375,-735295.8,-1037949.94,2
Baba I,Baba I,Baba I,Baba I,Praha,AB,bus,301003,49.9982529,14.4150963,-744599.6,-1052782.25,2
Baba II,Baba II,Baba II,Baba II,Praha,AB,bus,301003,49.99958,14.4150715,-744581.25,-1052635.88,2
Babice,Babice,Babice,Babice,Babice,PH,bus,301003,50.0078735,14.7148457,-723163.438,-1054610.13,2
"Babice,Babičky","Babice,Babičky","Babice,Babičky","Babice,Babičky",Babice,PH,bus,301003,50.00939,14.7261353,-722339.2,-1054550.5,2
"Babice,U hřiště","Babice,U hřiště","Babice,U hřiště","Babice,U hřiště",Babice,PH,bus,301003,50.00975,14.719009400000001,-722840.0,-1054443.0,2
"Bácovice,rozc.1.0","Bácovice,rozc.1.0","Bácovice,rozcestí 1.0","Bácovice,rozc.1.0",Bácovice,PE,bus,301003,49.48262,15.1807861,-697423.9,-1116878.5,2
"Bačalky,horní","Bačalky,horní","Bačalky,horní","Bačalky,horní",Bačalky,JC,bus,301003,50.3851662,15.1523838,-686751.2,-1017046.44,2
"Bačalky,Lično","Bačalky,Lično","Bačalky,Lično","Bačalky,Lično",Bačalky,JC,bus,301003,50.3836975,15.1715317,-685421.1,-1017381.0,2
"Bačalky,střed","Bačalky,střed","Bačalky,střed","Bačalky,střed",Bačalky,JC,bus,301003,50.3832245,15.1618271,-686112.25,-1017345.5,2
Bahno,Bahno,Bahno,Bahno,Černíny,KH,train,600003,49.8656,15.2203875,-689220.7,-1074986.0,1
Bachova,Bachova,Bachova,Bachova,Praha,AB,bus,301003,50.031292,14.5089664,-737435.6,-1050055.0,2
"Bakov n.Jiz.,Buda","Bakov n.Jiz.,Buda","Bakov nad Jizerou,Buda","Bakov n.Jiz.,Buda",Bakov n.Jiz.,MB,bus,301003,50.48374,14.9902763,-696773.75,-1004700.5,2
"Bakov n.Jiz.,Horka","Bakov n.Jiz.,Horka","Bakov nad Jizerou,Horka","Bakov n.Jiz.,Horka",Bakov n.Jiz.,MB,bus,301003,50.47509,14.9656181,-698633.4,-1005429.0,2
"Bakov n.Jiz.,Chudoplesy","Bakov n.Jiz.,Chudoplesy","Bakov nad Jizerou,Chudoplesy","Bakov n.Jiz.,Chudoplesy",Bakov n.Jiz.,MB,bus,301003,50.4580078,14.930807099999999,-701329.9,-1006993.5,2
"Bakov n.Jiz.,Komenského sady","Bakov n.Jiz.,Komenského sady","Bakov nad Jizerou,Komenského sady","Bakov n.Jiz.,Komenského sady",Bakov n.Jiz.,MB,bus,301003,50.4822464,14.94294,-700126.7,-1004432.0,2
"Bakov n.Jiz.,Malá Bělá,mlýn","Bakov n.Jiz.,Malá Bělá,mlýn","Bakov nad Jizerou,Malá Bělá,mlýn","Bakov n.Jiz.,Malá Bělá,mlýn",Bakov n.Jiz.,MB,bus,301003,50.4861336,14.9261,-701255.75,-1003848.19,4
